Designator,Mid X,Mid Y,Rotation,Layer
C1,43.307,66.548,180.0,bottom
C2,46.609,63.5,90.0,bottom
C3,55.626,57.277,0.0,bottom
C4,55.626,55.753,0.0,bottom
C5,60.706,60.706,90.0,bottom
C6,47.752,48.006,270.0,bottom
C7,43.18,42.291,180.0,bottom
C8,64.5668,51.6636,180.0,bottom
C9,64.5668,50.1904,180.0,bottom
D1,44.0,63.0,0.0,top
D2,43.307,33.909,270.0,bottom
F1,45.593,33.909,90.0,bottom
J1,46.101,72.263,90.0,bottom
J2,40.299,30.562,90.0,bottom
J3,52.1716,24.2316,0.0,bottom
J4,67.8072,30.5112,90.0,bottom
J5,79.0848,30.5112,90.0,bottom
J6,64.008,24.758,0.0,bottom
J7,44.45,26.675,0.0,bottom
J9,62.212,44.208,0.0,bottom
R1,43.307,68.834,180.0,bottom
R2,50.165,67.945,180.0,bottom
R3,50.165,69.85,0.0,bottom
R4,43.561,59.436,180.0,bottom
R5,43.561,60.96,0.0,bottom
R6,54.2036,32.8168,90.0,bottom
R7,49.9364,32.8168,90.0,bottom
R8,54.499,68.834,180.0,bottom
U1,43.307,64.008,0.0,bottom
U2,54.92,62.2985,90.0,bottom
U3,58.674,50.927,180.0,bottom
U4,43.053,48.895,90.0,bottom
