Designator,Footprint,Quantity,Value,LCSC Part #
C1,603,1,(0.7pF),
C2,603,1,1uF,
"C3, C5, C8, C9",603,4,100nF,
C4,603,1,4.7uF,
"C6, C7",805,2,22uF,
D1,Osram_SFH2440,1,SFH2440,
D2,D_SMF,1,SMF5V0A,
F1,1206,1,0.5A,
J1,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,
"J2, J4, J5",PinSocket_1x04_P2.54mm_Horizontal,3,Conn_01x04_Socket,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
"J6, J9",Molex_200528-0040_1x04-1MP_P1.00mm_Horizontal,2,Conn_01x04_Shielded,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Jumper_2_Open,
R1,603,1,(240k),
R2,805,1,91k,
R3,805,1,150k,
R4,603,1,330k,
R5,603,1,6.8k,
"R6, R8",805,2,1k,
R7,805,1,(1k)DNF,
TP1,TestPoint_Pad_D1.5mm,1,REF0,
U1,SOT-23-5,1,OPA365xxDBV,
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32G030F6Px,
U3,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
